@relation SYNCOPE_TR8.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
62,62,62,62.0,0,0,0.0,62,62,62.0,0,1,1,False
99,99,99,99.0,0,0,0.0,99,99,99.0,0,1,1,False
65,65,65,65.0,0,0,0.0,65,65,65.0,0,1,1,False
35,35,35,35.0,0,0,0.0,35,35,35.0,0,1,1,False
40,40,40,40.0,0,0,0.0,40,40,40.0,0,1,1,False
27,27,27,27.0,0,0,0.0,27,27,27.0,0,1,1,False
29,29,29,29.0,0,0,0.0,29,29,29.0,0,1,1,False
19,19,19,19.0,0,0,0.0,19,19,19.0,0,1,1,False
174,194,175,64.66666666666667,20,16,6.666666666666667,178,175,59.333333333333336,0,3,2,False
83,83,83,83.0,0,0,0.0,83,83,83.0,0,1,1,False
112,114,96,38.0,2,1,0.6666666666666666,112,96,37.333333333333336,0,3,3,False
94,96,96,48.0,2,2,1.0,98,96,49.0,0,2,1,False
50,50,50,50.0,0,0,0.0,50,50,50.0,0,1,1,False
165,178,150,59.333333333333336,13,10,4.333333333333333,165,150,55.0,0,3,2,False
43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
180,259,200,86.33333333333333,79,68,26.333333333333332,252,200,84.0,0,3,2,False
111,111,111,111.0,0,0,0.0,111,111,111.0,0,1,1,False
66,66,66,66.0,0,0,0.0,66,66,66.0,0,1,1,False
113,113,113,113.0,0,0,0.0,113,113,113.0,0,1,1,False
40,40,40,40.0,0,0,0.0,40,40,40.0,0,1,1,False
72,72,72,72.0,0,0,0.0,72,72,72.0,0,1,1,False
66,66,66,66.0,0,0,0.0,66,66,66.0,0,1,1,False
77,77,77,77.0,0,0,0.0,77,77,77.0,0,1,1,False
59,59,59,59.0,0,0,0.0,59,59,59.0,0,1,1,False
184,184,184,184.0,0,0,0.0,184,184,184.0,0,1,1,False
95,95,95,95.0,0,0,0.0,95,95,95.0,0,1,1,False
102,102,102,102.0,0,0,0.0,102,102,102.0,0,1,1,False
183,183,183,183.0,0,0,0.0,183,183,183.0,0,1,1,False
119,119,119,119.0,0,0,0.0,119,119,119.0,0,1,1,False
50,50,50,50.0,0,0,0.0,50,50,50.0,0,1,1,False
211,211,211,211.0,0,0,0.0,211,211,211.0,0,1,1,False
54,54,54,54.0,0,0,0.0,54,54,54.0,0,1,1,False
221,228,221,76.0,7,6,2.3333333333333335,221,221,73.66666666666667,0,3,2,False
705,731,711,243.66666666666666,26,18,8.666666666666666,717,711,239.0,0,3,2,False
116,116,116,116.0,0,0,0.0,116,116,116.0,0,1,1,False
443,461,436,230.5,18,18,9.0,443,436,221.5,0,2,2,False
119,119,119,119.0,0,0,0.0,119,119,119.0,0,1,1,False
311,326,304,108.66666666666667,15,9,5.0,311,304,103.66666666666667,0,3,1,False
