VERSION,JAVA_CLASS,SIZE,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,LOC_DELETED,MAX_LOC_DELETED,AVG_LOC_DELETED,CHURN,MAX_CHURN,AVG_CHURN,FIXED_DEFECTS,NUMBER_OF_COMMITS,NUMBER_OF_AUTHORS,IS_BUGGY
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,193,193,193,193.0,0,0,0.0,193,193,193.0,0,1,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/HierarchicalLedgerManager.java,514,514,514,514.0,0,0,0.0,514,514,514.0,0,1,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerLayout.java,204,204,204,204.0,0,0,0.0,204,204,204.0,0,1,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManager.java,144,144,144,144.0,0,0,0.0,144,144,144.0,0,1,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/LedgerManagerFactory.java,98,98,98,98.0,0,0,0.0,98,98,98.0,0,1,1,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieClient.java,181,203,178,29.0,22,9,3.142857142857143,189,178,27.0,0,7,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieProtocol.java,154,162,75,40.5,8,5,2.0,154,75,38.5,0,4,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookieServer.java,393,489,209,44.45454545454545,96,48,8.727272727272727,399,209,36.27272727272727,0,11,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/BookkeeperInternalCallbacks.java,132,139,75,46.333333333333336,7,7,2.3333333333333335,132,75,44.0,0,3,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/NIOServerFactory.java,533,556,521,69.5,23,8,2.875,535,521,66.875,0,8,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,603,683,573,75.88888888888889,80,24,8.88888888888889,607,573,67.44444444444444,0,9,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/ServerStats.java,148,148,148,148.0,0,0,0.0,148,148,148.0,0,1,1,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerInputStream.java,174,184,173,61.333333333333336,10,8,3.3333333333333335,174,173,58.0,0,3,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/streaming/LedgerOutputStream.java,148,158,147,52.666666666666664,10,8,3.3333333333333335,148,147,49.333333333333336,0,3,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,92,834,763,139.0,742,688,123.66666666666667,1442,763,240.33333333333334,0,6,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/LocalBookKeeper.java,234,438,209,73.0,204,101,34.0,234,209,39.0,0,6,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/Main.java,54,59,54,19.666666666666668,5,4,1.6666666666666667,54,54,18.0,0,3,3,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/MathUtils.java,38,43,38,21.5,5,5,2.5,38,38,19.0,0,2,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,98,102,98,51.0,4,4,2.0,98,98,49.0,0,2,2,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,39,49,38,16.333333333333332,10,7,3.3333333333333335,39,38,13.0,0,3,2,False
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/StringUtils.java,69,98,94,32.666666666666664,29,25,9.666666666666666,119,94,39.666666666666664,0,3,3,True
0,bookkeeper-server/src/main/java/org/apache/bookkeeper/util/ZkUtils.java,94,94,94,94.0,0,0,0.0,94,94,94.0,0,1,1,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,72,72,72,72.0,0,0,0.0,72,72,72.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Client.java,42,42,42,42.0,0,0,0.0,42,42,42.0,0,1,1,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,48,56,48,18.666666666666668,8,5,2.6666666666666665,48,48,16.0,0,3,2,False
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Publisher.java,63,67,63,33.5,4,4,2.0,63,63,31.5,0,2,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/api/Subscriber.java,237,257,237,128.5,20,20,10.0,237,237,118.5,0,2,2,True
0,hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkPublisher.java,133,139,133,46.333333333333336,6,5,2.0,133,133,44.333333333333336,0,3,2,True
