DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
BOOKKEEPER,4,73.96408839779005,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.20253164556962025,0.4,0.7092729970326409,0.14902835793788782,16.0,63.0,274.0,24.0
BOOKKEEPER,4,73.96408839779005,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.1827956989247312,0.425,0.6274109792284867,0.12594552820777033,17.0,76.0,261.0,23.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,NONE,NONE,0.3235294117647059,0.275,0.6830860534124629,0.22138374771625988,11.0,23.0,314.0,29.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.20253164556962025,0.4,0.7092729970326409,0.14902835793788782,16.0,63.0,274.0,24.0
BOOKKEEPER,4,73.96408839779005,IBK,BEST_FIRST,UNDERSAMPLING,NONE,0.1827956989247312,0.425,0.6274109792284867,0.12594552820777033,17.0,76.0,261.0,23.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,NONE,NONE,0.3684210526315789,0.35,0.7149109792284867,0.2850640977015856,14.0,24.0,313.0,26.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,OVERSAMPLING,NONE,0.21052631578947367,0.4,0.6693991097922849,0.15892914055030247,16.0,60.0,277.0,24.0
BOOKKEEPER,4,73.96408839779005,IBK,NONE,UNDERSAMPLING,NONE,0.18556701030927836,0.45,0.6554154302670623,0.1324249812025793,18.0,79.0,258.0,22.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,NONE,NONE,0.5714285714285714,0.3076923076923077,0.740625669595029,0.3416978109983985,16.0,12.0,347.0,36.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,OVERSAMPLING,NONE,0.3584905660377358,0.36538461538461536,0.7382954788943646,0.26846956937544814,19.0,34.0,325.0,33.0
BOOKKEEPER,5,77.89133942980096,IBK,GREEDY_BACKWARD_SEARCH,UNDERSAMPLING,NONE,0.27049180327868855,0.6346153846153846,0.7079494321834154,0.24543569170094862,33.0,89.0,270.0,19.0
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,NONE,NONE,0.5714285714285714,0.3076923076923077,0.740625669595029,0.3416978109983985,16.0,12.0,347.0,36.0
BOOKKEEPER,5,77.89133942980096,IBK,BEST_FIRST,OVERSAMPLING,NONE,0.3584905660377358,0.36538461538461536,0.7382954788943646,0.26846956937544814,19.0,34.0,325.0,33.0
