DATASET,#TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,0.0,0.5967353951890034,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,NaN,0.0,0.5896907216494846,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.012219959266802444,1.0,0.5,0.0,6.0,485.0,0.0,0.0
SYNCOPE,2,66.55313351498637,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.0,0.0,0.49381443298969074,-0.014882182720134389,0.0,9.0,476.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,NONE,NONE,NaN,0.0,0.788659793814433,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,OVERSAMPLING,NONE,NaN,0.0,0.7343642611683848,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,SMOTE,NONE,NaN,0.0,0.788659793814433,0.0,0.0,0.0,485.0,6.0
SYNCOPE,2,66.55313351498637,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.012219959266802444,1.0,0.5,0.0,6.0,485.0,0.0,0.0
SYNCOPE,2,66.55313351498637,IBK,NONE,UNDERSAMPLING,NONE,0.0,0.0,0.49381443298969074,-0.014882182720134389,0.0,9.0,476.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,NONE,NONE,NaN,0.0,0.49587628865979383,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,NaN,0.0,0.7395189003436426,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,NaN,0.0,0.8463917525773196,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.012320328542094456,1.0,0.5041237113402062,2.0320126662122962E-4,6.0,481.0,4.0,0.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.052083333333333336,0.8333333333333334,0.8235395189003436,0.07680359697527091,5.0,91.0,394.0,1.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,NONE,NONE,NaN,0.0,0.49587628865979383,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,NaN,0.0,0.7395189003436426,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,NaN,0.0,0.8463917525773196,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.012320328542094456,1.0,0.5041237113402062,2.0320126662122962E-4,6.0,481.0,4.0,0.0
SYNCOPE,3,74.93619193466054,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.052083333333333336,0.8333333333333334,0.8235395189003436,0.07680359697527091,5.0,91.0,394.0,1.0
SYNCOPE,3,74.93619193466054,IBK,NONE,NONE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,NONE,NONE,NaN,0.0,0.8463917525773196,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,OVERSAMPLING,NONE,NaN,0.0,0.7850515463917526,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,SMOTE,SENSITIVE_LEARNING,NaN,0.0,0.5,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,SMOTE,NONE,NaN,0.0,0.8463917525773196,0.0,0.0,0.0,485.0,6.0
SYNCOPE,3,74.93619193466054,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.012244897959183673,1.0,0.5010309278350515,5.0493149762682445E-5,6.0,484.0,1.0,0.0
SYNCOPE,3,74.93619193466054,IBK,NONE,UNDERSAMPLING,NONE,0.0,0.0,0.5,-0.0035036496350378606,0.0,1.0,484.0,6.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.0,0.0,0.4990118577075099,-0.0036026762738023094,0.0,1.0,505.0,14.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.0,0.0,0.5281620553359684,-0.0036026762738023094,0.0,1.0,505.0,14.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.16666666666666666,0.07142857142857142,0.5307735742518351,0.08522283033620168,1.0,5.0,501.0,13.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.16666666666666666,0.07142857142857142,0.6582439299830605,0.08522283033620168,1.0,5.0,501.0,13.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.08108108108108109,0.21428571428571427,0.5735460191981931,0.08177680113012084,3.0,34.0,472.0,11.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.08108108108108109,0.21428571428571427,0.6884528514963297,0.08177680113012084,3.0,34.0,472.0,11.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.026923076923076925,1.0,0.5,0.0,14.0,506.0,0.0,0.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.06338028169014084,0.6428571428571429,0.6906408808582721,0.06979155864357592,9.0,133.0,373.0,5.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.0,0.0,0.4990118577075099,-0.0036026762738023094,0.0,1.0,505.0,14.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.0,0.0,0.5281620553359684,-0.0036026762738023094,0.0,1.0,505.0,14.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.16666666666666666,0.07142857142857142,0.5307735742518351,0.08522283033620168,1.0,5.0,501.0,13.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.16666666666666666,0.07142857142857142,0.6582439299830605,0.08522283033620168,1.0,5.0,501.0,13.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.08108108108108109,0.21428571428571427,0.5735460191981931,0.08177680113012084,3.0,34.0,472.0,11.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.08108108108108109,0.21428571428571427,0.6884528514963297,0.08177680113012084,3.0,34.0,472.0,11.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.026923076923076925,1.0,0.5,0.0,14.0,506.0,0.0,0.0
SYNCOPE,4,79.0237999193223,IBK,BEST_FIRST_BACKWARD,UNDERSAMPLING,NONE,0.06338028169014084,0.6428571428571429,0.6906408808582721,0.06979155864357592,9.0,133.0,373.0,5.0
SYNCOPE,4,79.0237999193223,IBK,NONE,NONE,SENSITIVE_LEARNING,0.058823529411764705,0.07142857142857142,0.5199040090344438,0.03605216057274287,1.0,16.0,490.0,13.0
SYNCOPE,4,79.0237999193223,IBK,NONE,NONE,NONE,0.058823529411764705,0.07142857142857142,0.6705251270468662,0.03605216057274287,1.0,16.0,490.0,13.0
SYNCOPE,4,79.0237999193223,IBK,NONE,OVERSAMPLING,SENSITIVE_LEARNING,0.045454545454545456,0.07142857142857142,0.5149632975719932,0.023420238621299234,1.0,21.0,485.0,13.0
SYNCOPE,4,79.0237999193223,IBK,NONE,OVERSAMPLING,NONE,0.045454545454545456,0.07142857142857142,0.669819311123659,0.023420238621299234,1.0,21.0,485.0,13.0
SYNCOPE,4,79.0237999193223,IBK,NONE,SMOTE,SENSITIVE_LEARNING,0.07692307692307693,0.14285714285714285,0.5477131564088086,0.06735751295336795,2.0,24.0,482.0,12.0
SYNCOPE,4,79.0237999193223,IBK,NONE,SMOTE,NONE,0.07692307692307693,0.14285714285714285,0.6801242236024845,0.06735751295336795,2.0,24.0,482.0,12.0
SYNCOPE,4,79.0237999193223,IBK,NONE,UNDERSAMPLING,SENSITIVE_LEARNING,0.026923076923076925,1.0,0.5,0.0,14.0,506.0,0.0,0.0
SYNCOPE,4,79.0237999193223,IBK,NONE,UNDERSAMPLING,NONE,0.04032258064516129,0.35714285714285715,0.5609824957651045,0.02530459231490165,5.0,119.0,387.0,9.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,NONE,SENSITIVE_LEARNING,0.6666666666666666,0.01834862385321101,0.5081348108871044,0.02607526059976162,2.0,1.0,480.0,107.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,NONE,NONE,0.5,0.009174311926605505,0.5009345972648724,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5,0.009174311926605505,0.5035476549238017,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,OVERSAMPLING,NONE,0.5,0.009174311926605505,0.6657288904995327,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,SMOTE,SENSITIVE_LEARNING,0.0,0.0,0.49584199584199584,-0.013252682452354126,0.0,4.0,477.0,109.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,SMOTE,NONE,0.0,0.0,0.6022239600221252,-0.013252682452354126,0.0,4.0,477.0,109.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,SENSITIVE_LEARNING,0.1945945945945946,0.9908256880733946,0.5307558793797326,0.023820955054104958,108.0,447.0,34.0,1.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_FORWARD,UNDERSAMPLING,NONE,0.28061224489795916,0.5045871559633027,0.6199908447614869,0.1615775895993353,55.0,141.0,340.0,54.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,NONE,SENSITIVE_LEARNING,0.6666666666666666,0.01834862385321101,0.5081348108871044,0.02607526059976162,2.0,1.0,480.0,107.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,NONE,NONE,0.5,0.009174311926605505,0.5009345972648724,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,SENSITIVE_LEARNING,0.5,0.009174311926605505,0.5035476549238017,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,OVERSAMPLING,NONE,0.5,0.009174311926605505,0.6657288904995327,0.011436652627048629,1.0,1.0,480.0,108.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,SMOTE,SENSITIVE_LEARNING,0.0,0.0,0.49584199584199584,-0.013252682452354126,0.0,4.0,477.0,109.0
SYNCOPE,5,80.77549690452916,IBK,BEST_FIRST_BACKWARD,SMOTE,NONE,0.0,0.0,0.6022239600221252,-0.013252682452354126,0.0,4.0,477.0,109.0
