@relation BOOKKEEPER_TRAINING_2.arff
@attribute SIZE numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute LOC_DELETED numeric
@attribute MAX_LOC_DELETED numeric
@attribute AVG_LOC_DELETED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute FIXED_DEFECTS numeric
@attribute NUMBER_OF_COMMITS numeric
@attribute NUMBER_OF_AUTHORS numeric
@attribute IS_BUGGY {'True', 'False'}
@data
88,91,87,30.333333333333332,3,2,1.0,88,87,29.333333333333332,0,3,2,False
71,78,70,19.5,7,3,1.75,71,70,17.75,0,4,2,False
114,123,113,30.75,9,4,2.25,114,113,28.5,0,4,2,False
336,414,329,69.0,78,35,13.0,336,329,56.0,0,6,3,False
84,93,83,23.25,9,5,2.25,84,83,21.0,0,4,2,False
58,63,58,21.0,5,3,1.6666666666666667,58,58,19.333333333333332,0,3,2,False
123,130,122,32.5,7,4,1.75,123,122,30.75,0,4,2,True
369,369,369,369.0,0,0,0.0,369,369,369.0,0,1,1,True
231,243,224,48.6,12,6,2.4,231,224,46.2,0,5,2,True
586,645,585,161.25,59,48,14.75,586,585,146.5,0,4,2,True
366,390,365,78.0,24,14,4.8,366,365,73.2,0,5,2,False
99,108,98,27.0,9,4,2.25,99,98,24.75,0,4,2,True
41,41,41,41.0,0,0,0.0,41,41,41.0,0,1,1,False
66,79,65,39.5,13,13,6.5,66,65,33.0,0,2,2,False
54,55,45,18.333333333333332,1,1,0.3333333333333333,54,45,18.0,0,3,3,False
47,51,47,25.5,4,4,2.0,47,47,23.5,0,2,2,False
183,203,185,50.75,20,16,5.0,187,185,46.75,0,4,3,False
49,49,49,49.0,0,0,0.0,49,49,49.0,0,1,1,False
50,50,50,50.0,0,0,0.0,50,50,50.0,0,1,1,False
98,100,97,50.0,2,2,1.0,98,97,49.0,0,2,2,False
138,138,138,138.0,0,0,0.0,138,138,138.0,0,1,1,False
43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
42,42,42,42.0,0,0,0.0,42,42,42.0,0,1,1,False
56,56,56,56.0,0,0,0.0,56,56,56.0,0,1,1,False
162,163,162,81.5,1,1,0.5,162,162,81.0,0,2,2,False
6367,12222,6127,6111.0,5855,5855,2927.5,6367,6095,3183.5,0,2,2,False
153,155,153,77.5,2,2,1.0,153,153,76.5,0,2,2,False
43,43,43,43.0,0,0,0.0,43,43,43.0,0,1,1,False
